sequence,cluster,genome
GCF_021109555.1_prophage_7,3,GCF_021109555.1
GCF_021109595.1_prophage_4,12,GCF_021109595.1
GCF_021109785.1_prophage_3,10,GCF_021109785.1
GCF_021109815.1_prophage_1,10,GCF_021109815.1
GCF_021109845.1_prophage_2,15,GCF_021109845.1
GCF_021110035.1_prophage_3,17,GCF_021110035.1
GCF_021110035.1_prophage_4,17,GCF_021110035.1
GCF_021110165.1_prophage_3,13,GCF_021110165.1
GCF_021166015.1_prophage_13,1,GCF_021166015.1
GCF_021166015.1_prophage_16,1,GCF_021166015.1
GCF_021166415.1_prophage_5,15,GCF_021166415.1
GCF_021167175.1_prophage_7,8,GCF_021167175.1
GCF_021167275.1_prophage_1,4,GCF_021167275.1
GCF_021167385.1_prophage_2,2,GCF_021167385.1
GCF_021167405.1_prophage_5,16,GCF_021167405.1
GCF_021167655.1_prophage_3,13,GCF_021167655.1
GCF_021167735.1_prophage_4,16,GCF_021167735.1
GCF_021167815.1_prophage_2,17,GCF_021167815.1
GCF_021167875.1_prophage_2,13,GCF_021167875.1
GCF_021168125.1_prophage_6,16,GCF_021168125.1
GCF_021168295.1_prophage_1,1,GCF_021168295.1
GCF_021168295.1_prophage_4,2,GCF_021168295.1
GCF_021168355.1_prophage_3,14,GCF_021168355.1
GCF_021173045.1_prophage_1,10,GCF_021173045.1
GCF_021188655.1_prophage_1,7,GCF_021188655.1
GCF_021188775.1_prophage_2,13,GCF_021188775.1
GCF_021207195.1_prophage_2,13,GCF_021207195.1
GCF_021207275.1_prophage_3,1,GCF_021207275.1
GCF_021228455.1_prophage_5,20,GCF_021228455.1
GCF_021228475.1_prophage_5,12,GCF_021228475.1
GCF_021228515.1_prophage_1,3,GCF_021228515.1
GCF_021229225.1_prophage_5,1,GCF_021229225.1
GCF_021229225.1_prophage_6,8,GCF_021229225.1
GCF_021229355.1_prophage_4,14,GCF_021229355.1
GCF_021229425.1_prophage_3,19,GCF_021229425.1
GCF_021229425.1_prophage_9,3,GCF_021229425.1
GCF_021229495.1_prophage_6,17,GCF_021229495.1
GCF_021295415.1_prophage_1,1,GCF_021295415.1
GCF_021295415.1_prophage_2,20,GCF_021295415.1
GCF_021295435.1_prophage_5,1,GCF_021295435.1
GCF_021295475.1_prophage_5,3,GCF_021295475.1
GCF_021295535.1_prophage_1,1,GCF_021295535.1
GCF_021295635.1_prophage_7,4,GCF_021295635.1
GCF_021311665.1_prophage_2,1,GCF_021311665.1
GCF_021341935.1_prophage_1,13,GCF_021341935.1
GCF_021342075.1_prophage_1,8,GCF_021342075.1
GCF_021342095.1_prophage_5,3,GCF_021342095.1
GCF_021342185.1_prophage_1,1,GCF_021342185.1
GCF_021342295.1_prophage_2,12,GCF_021342295.1
GCF_021342395.1_prophage_1,1,GCF_021342395.1
GCF_021342455.1_prophage_3,2,GCF_021342455.1
GCF_021342505.1_prophage_3,13,GCF_021342505.1
GCF_021342585.1_prophage_5,20,GCF_021342585.1
GCF_021342585.1_prophage_9,1,GCF_021342585.1
GCF_021342655.1_prophage_2,19,GCF_021342655.1
GCF_021342855.1_prophage_4,1,GCF_021342855.1
GCF_021342965.1_prophage_3,6,GCF_021342965.1
GCF_021343005.1_prophage_1,1,GCF_021343005.1
GCF_021343055.1_prophage_1,20,GCF_021343055.1
GCF_021343135.1_prophage_2,16,GCF_021343135.1
GCF_021343195.1_prophage_6,20,GCF_021343195.1
GCF_021343295.1_prophage_6,1,GCF_021343295.1
GCF_021343455.1_prophage_1,19,GCF_021343455.1
GCF_021343455.1_prophage_5,1,GCF_021343455.1
GCF_021343555.1_prophage_1,4,GCF_021343555.1
GCF_021343565.1_prophage_4,10,GCF_021343565.1
GCF_021343585.1_prophage_2,14,GCF_021343585.1
GCF_021343695.1_prophage_6,2,GCF_021343695.1
GCF_021343735.1_prophage_7,3,GCF_021343735.1
GCF_021343765.1_prophage_3,1,GCF_021343765.1
GCF_021343785.1_prophage_3,12,GCF_021343785.1
GCF_021343835.1_prophage_2,1,GCF_021343835.1
GCF_021352385.1_prophage_1,13,GCF_021352385.1
GCF_021352385.1_prophage_2,1,GCF_021352385.1
GCF_021353525.1_prophage_1,3,GCF_021353525.1
GCF_021353655.1_prophage_1,17,GCF_021353655.1
GCF_021354215.1_prophage_1,12,GCF_021354215.1
GCF_021383885.1_prophage_1,15,GCF_021383885.1
GCF_021398995.1_prophage_5,2,GCF_021398995.1
GCF_021416225.1_prophage_1,20,GCF_021416225.1
GCF_021416565.1_prophage_6,7,GCF_021416565.1
GCF_021417055.1_prophage_2,10,GCF_021417055.1
GCF_021417145.1_prophage_3,1,GCF_021417145.1
GCF_900014325.1_prophage_2,13,GCF_900014325.1
GCF_900015745.1_prophage_7,11,GCF_900015745.1
GCF_900015775.1_prophage_3,13,GCF_900015775.1
GCF_900015815.1_prophage_1,2,GCF_900015815.1
GCF_900015995.1_prophage_9,1,GCF_900015995.1
GCF_900016005.1_prophage_1,3,GCF_900016005.1
GCF_900016025.1_prophage_1,13,GCF_900016025.1
GCF_900016115.1_prophage_5,10,GCF_900016115.1
GCF_900016365.1_prophage_1,3,GCF_900016365.1
GCF_900041715.1_prophage_6,2,GCF_900041715.1
GCF_900042775.1_prophage_4,3,GCF_900042775.1
GCF_900087565.2_prophage_3,10,GCF_900087565.2
GCF_900089795.1_prophage_3,5,GCF_900089795.1
GCF_900096835.1_prophage_2,10,GCF_900096835.1
GCF_900130215.1_prophage_2,8,GCF_900130215.1
GCF_900130215.1_prophage_3,5,GCF_900130215.1
GCF_900149875.1_prophage_2,11,GCF_900149875.1
GCF_900149875.1_prophage_7,20,GCF_900149875.1
GCF_900149915.1_prophage_5,2,GCF_900149915.1
GCF_900166705.1_prophage_1,18,GCF_900166705.1
GCF_900166765.1_prophage_3,3,GCF_900166765.1
GCF_900166825.1_prophage_4,2,GCF_900166825.1
GCF_900166835.1_prophage_5,18,GCF_900166835.1
GCF_900166845.1_prophage_1,2,GCF_900166845.1
GCF_900166955.1_prophage_3,2,GCF_900166955.1
GCF_900166955.1_prophage_5,1,GCF_900166955.1
GCF_900174625.1_prophage_4,1,GCF_900174625.1
GCF_900174635.1_prophage_3,5,GCF_900174635.1
GCF_900195345.1_prophage_2,20,GCF_900195345.1
GCF_900195345.1_prophage_9,13,GCF_900195345.1
GCF_900195385.1_prophage_1,15,GCF_900195385.1
GCF_900195535.1_prophage_2,17,GCF_900195535.1
GCF_900195615.1_prophage_6,6,GCF_900195615.1
GCF_900195705.1_prophage_1,9,GCF_900195705.1
GCF_900195895.1_prophage_1,14,GCF_900195895.1
GCF_900195905.1_prophage_5,17,GCF_900195905.1
GCF_900195985.1_prophage_2,20,GCF_900195985.1
GCF_900195995.1_prophage_6,14,GCF_900195995.1
GCF_900196115.1_prophage_3,7,GCF_900196115.1
GCF_900196145.1_prophage_3,2,GCF_900196145.1
GCF_900196225.1_prophage_1,9,GCF_900196225.1
GCF_900196275.1_prophage_10,20,GCF_900196275.1
GCF_900196315.1_prophage_5,20,GCF_900196315.1
GCF_900196365.1_prophage_1,10,GCF_900196365.1
GCF_900196475.1_prophage_6,7,GCF_900196475.1
GCF_900196515.1_prophage_2,14,GCF_900196515.1
GCF_900196635.1_prophage_1,20,GCF_900196635.1
GCF_900196685.1_prophage_6,11,GCF_900196685.1
GCF_900196695.1_prophage_4,5,GCF_900196695.1
GCF_900236065.1_prophage_6,12,GCF_900236065.1
GCF_900382715.1_prophage_4,1,GCF_900382715.1
GCF_900447915.1_prophage_3,20,GCF_900447915.1
GCF_900448215.1_prophage_11,20,GCF_900448215.1
GCF_900448245.1_prophage_3,1,GCF_900448245.1
GCF_900448265.1_prophage_11,1,GCF_900448265.1
GCF_900448275.1_prophage_12,2,GCF_900448275.1
GCF_900448275.1_prophage_6,1,GCF_900448275.1
GCF_900448415.1_prophage_8,7,GCF_900448415.1
GCF_900448455.1_prophage_9,13,GCF_900448455.1
GCF_900448555.1_prophage_2,15,GCF_900448555.1
GCF_900448565.1_prophage_1,2,GCF_900448565.1
GCF_900448675.1_prophage_4,20,GCF_900448675.1
GCF_900448725.1_prophage_1,13,GCF_900448725.1
GCF_900448835.1_prophage_10,1,GCF_900448835.1
GCF_900448835.1_prophage_12,8,GCF_900448835.1
GCF_900449005.1_prophage_4,13,GCF_900449005.1
GCF_900449065.1_prophage_2,3,GCF_900449065.1
GCF_900449165.1_prophage_10,2,GCF_900449165.1
GCF_900449215.1_prophage_1,7,GCF_900449215.1
GCF_900449245.1_prophage_9,14,GCF_900449245.1
GCF_900449305.1_prophage_2,2,GCF_900449305.1
GCF_900449445.1_prophage_3,7,GCF_900449445.1
GCF_900449455.1_prophage_12,15,GCF_900449455.1
GCF_900449455.1_prophage_2,20,GCF_900449455.1
GCF_900449455.1_prophage_6,20,GCF_900449455.1
GCF_900449475.1_prophage_16,11,GCF_900449475.1
GCF_900449495.1_prophage_2,4,GCF_900449495.1
GCF_900449645.1_prophage_1,1,GCF_900449645.1
GCF_900449665.1_prophage_4,20,GCF_900449665.1
GCF_900449745.1_prophage_7,2,GCF_900449745.1
GCF_900449755.1_prophage_5,8,GCF_900449755.1
GCF_900449765.1_prophage_3,1,GCF_900449765.1
GCF_900449765.1_prophage_7,20,GCF_900449765.1
GCF_900449785.1_prophage_4,14,GCF_900449785.1
GCF_900449835.1_prophage_10,8,GCF_900449835.1
GCF_900449875.1_prophage_3,3,GCF_900449875.1
GCF_900449905.1_prophage_11,1,GCF_900449905.1
GCF_900449935.1_prophage_6,10,GCF_900449935.1
GCF_900449945.1_prophage_2,2,GCF_900449945.1
GCF_900449985.1_prophage_6,10,GCF_900449985.1
GCF_900450155.1_prophage_6,1,GCF_900450155.1
GCF_900450215.1_prophage_2,2,GCF_900450215.1
GCF_900450315.1_prophage_7,20,GCF_900450315.1
GCF_900450385.1_prophage_3,20,GCF_900450385.1
GCF_900450385.1_prophage_6,14,GCF_900450385.1
GCF_900450495.1_prophage_3,20,GCF_900450495.1
GCF_900450515.1_prophage_6,16,GCF_900450515.1
GCF_900450515.1_prophage_9,2,GCF_900450515.1
GCF_900478475.1_prophage_5,14,GCF_900478475.1
GCF_900478525.1_prophage_5,10,GCF_900478525.1
GCF_900478655.1_prophage_4,12,GCF_900478655.1
GCF_900478765.1_prophage_2,20,GCF_900478765.1
GCF_900478765.1_prophage_5,2,GCF_900478765.1
GCF_900478835.1_prophage_1,1,GCF_900478835.1
GCF_900478845.1_prophage_6,3,GCF_900478845.1
GCF_900478865.1_prophage_3,17,GCF_900478865.1
GCF_900478875.1_prophage_6,12,GCF_900478875.1
GCF_900478915.1_prophage_3,13,GCF_900478915.1
GCF_900478945.1_prophage_3,14,GCF_900478945.1
GCF_900479005.1_prophage_2,17,GCF_900479005.1
GCF_900479075.1_prophage_10,6,GCF_900479075.1
GCF_900479115.1_prophage_5,13,GCF_900479115.1
GCF_900479145.1_prophage_9,3,GCF_900479145.1
GCF_900479215.1_prophage_1,4,GCF_900479215.1
GCF_900479285.1_prophage_1,16,GCF_900479285.1
GCF_900479335.1_prophage_4,1,GCF_900479335.1
GCF_900479345.1_prophage_10,17,GCF_900479345.1
GCF_900479345.1_prophage_3,19,GCF_900479345.1
GCF_900479395.1_prophage_1,1,GCF_900479395.1
GCF_900479395.1_prophage_4,12,GCF_900479395.1
GCF_900479425.1_prophage_1,13,GCF_900479425.1
GCF_900479435.1_prophage_1,17,GCF_900479435.1
GCF_900479465.1_prophage_2,13,GCF_900479465.1
GCF_900479485.1_prophage_3,8,GCF_900479485.1
GCF_900479515.1_prophage_5,5,GCF_900479515.1
GCF_900479595.1_prophage_9,1,GCF_900479595.1
GCF_900479635.1_prophage_2,13,GCF_900479635.1
GCF_900479685.1_prophage_2,3,GCF_900479685.1
GCF_900479805.1_prophage_4,7,GCF_900479805.1
GCF_900479815.1_prophage_2,13,GCF_900479815.1
GCF_900479815.1_prophage_5,13,GCF_900479815.1
GCF_900479845.1_prophage_10,20,GCF_900479845.1
GCF_900479845.1_prophage_12,20,GCF_900479845.1
GCF_900479855.1_prophage_8,12,GCF_900479855.1
GCF_900479865.1_prophage_11,20,GCF_900479865.1
GCF_900479945.1_prophage_7,14,GCF_900479945.1
GCF_900479975.1_prophage_2,2,GCF_900479975.1
GCF_900479975.1_prophage_4,20,GCF_900479975.1
GCF_900479995.1_prophage_6,9,GCF_900479995.1
GCF_900479995.1_prophage_8,3,GCF_900479995.1
GCF_900480005.1_prophage_5,7,GCF_900480005.1
GCF_900480245.1_prophage_4,13,GCF_900480245.1
GCF_900480275.1_prophage_3,14,GCF_900480275.1
GCF_900480325.1_prophage_5,14,GCF_900480325.1
GCF_900480525.1_prophage_3,20,GCF_900480525.1
GCF_900480525.1_prophage_7,8,GCF_900480525.1
GCF_900480545.1_prophage_2,2,GCF_900480545.1
GCF_900480545.1_prophage_3,4,GCF_900480545.1
GCF_900480615.1_prophage_9,7,GCF_900480615.1
GCF_900480625.1_prophage_2,3,GCF_900480625.1
GCF_900480675.1_prophage_8,17,GCF_900480675.1
GCF_900480785.1_prophage_5,7,GCF_900480785.1
GCF_900480815.1_prophage_1,17,GCF_900480815.1
GCF_900480925.1_prophage_2,1,GCF_900480925.1
GCF_900480965.1_prophage_4,1,GCF_900480965.1
GCF_900481025.1_prophage_7,7,GCF_900481025.1
GCF_900481085.1_prophage_1,20,GCF_900481085.1
GCF_900481115.1_prophage_4,2,GCF_900481115.1
GCF_900481355.1_prophage_4,5,GCF_900481355.1
GCF_900481365.1_prophage_6,8,GCF_900481365.1
GCF_900481365.1_prophage_7,20,GCF_900481365.1
GCF_900481405.1_prophage_4,2,GCF_900481405.1
GCF_900481455.1_prophage_1,15,GCF_900481455.1
GCF_900481455.1_prophage_11,1,GCF_900481455.1
GCF_900481475.1_prophage_7,5,GCF_900481475.1
GCF_900481505.1_prophage_6,20,GCF_900481505.1
GCF_900481545.1_prophage_2,14,GCF_900481545.1
GCF_900481605.1_prophage_5,5,GCF_900481605.1
GCF_900481665.1_prophage_6,15,GCF_900481665.1
GCF_900481685.1_prophage_6,1,GCF_900481685.1
GCF_900481865.1_prophage_11,7,GCF_900481865.1
GCF_900481945.1_prophage_12,2,GCF_900481945.1
GCF_900481945.1_prophage_6,1,GCF_900481945.1
GCF_900481955.1_prophage_3,2,GCF_900481955.1
GCF_900481965.1_prophage_4,15,GCF_900481965.1
GCF_900482075.1_prophage_6,15,GCF_900482075.1
GCF_900482115.1_prophage_4,3,GCF_900482115.1
GCF_900482135.1_prophage_2,17,GCF_900482135.1
GCF_900482235.1_prophage_10,20,GCF_900482235.1
GCF_900482235.1_prophage_9,20,GCF_900482235.1
GCF_900482275.1_prophage_3,19,GCF_900482275.1
GCF_900482315.1_prophage_1,20,GCF_900482315.1
GCF_900482345.1_prophage_4,2,GCF_900482345.1
GCF_900482355.1_prophage_4,13,GCF_900482355.1
GCF_900482415.1_prophage_2,20,GCF_900482415.1
GCF_900482425.1_prophage_2,3,GCF_900482425.1
GCF_900482455.1_prophage_1,1,GCF_900482455.1
GCF_900482635.1_prophage_8,20,GCF_900482635.1
GCF_900488875.1_prophage_5,7,GCF_900488875.1
GCF_900488905.1_prophage_3,17,GCF_900488905.1
GCF_900488905.1_prophage_6,12,GCF_900488905.1
GCF_900488915.1_prophage_2,13,GCF_900488915.1
GCF_900489045.1_prophage_2,14,GCF_900489045.1
GCF_900489155.1_prophage_1,10,GCF_900489155.1
GCF_900489335.1_prophage_1,12,GCF_900489335.1
GCF_900489365.1_prophage_3,13,GCF_900489365.1
GCF_900489385.1_prophage_3,10,GCF_900489385.1
GCF_900489645.1_prophage_4,12,GCF_900489645.1
GCF_900489755.1_prophage_2,14,GCF_900489755.1
GCF_900489815.1_prophage_3,4,GCF_900489815.1
GCF_900490155.1_prophage_8,1,GCF_900490155.1
GCF_900490165.1_prophage_1,5,GCF_900490165.1
GCF_900490205.1_prophage_3,5,GCF_900490205.1
GCF_900490225.1_prophage_3,11,GCF_900490225.1
GCF_900490305.1_prophage_8,14,GCF_900490305.1
GCF_900490475.1_prophage_16,15,GCF_900490475.1
GCF_900490615.1_prophage_6,16,GCF_900490615.1
GCF_900490645.1_prophage_1,1,GCF_900490645.1
GCF_900499425.1_prophage_2,20,GCF_900499425.1
GCF_900499435.1_prophage_3,13,GCF_900499435.1
GCF_900499455.1_prophage_2,2,GCF_900499455.1
GCF_900499725.1_prophage_2,9,GCF_900499725.1
GCF_900499735.1_prophage_2,10,GCF_900499735.1
GCF_900499775.1_prophage_2,3,GCF_900499775.1
GCF_900499805.1_prophage_3,10,GCF_900499805.1
GCF_900499835.1_prophage_4,3,GCF_900499835.1
GCF_900499965.1_prophage_3,10,GCF_900499965.1
GCF_900500295.1_prophage_4,7,GCF_900500295.1
GCF_900500325.1_prophage_6,13,GCF_900500325.1
GCF_900500335.1_prophage_2,20,GCF_900500335.1
GCF_900500485.1_prophage_1,2,GCF_900500485.1
GCF_900520345.1_prophage_1,2,GCF_900520345.1
GCF_900520345.1_prophage_6,15,GCF_900520345.1
GCF_900520395.1_prophage_3,2,GCF_900520395.1
GCF_900536385.1_prophage_5,7,GCF_900536385.1
GCF_900536575.1_prophage_1,1,GCF_900536575.1
GCF_900536915.1_prophage_1,3,GCF_900536915.1
GCF_900536925.1_prophage_2,8,GCF_900536925.1
GCF_900536985.1_prophage_2,1,GCF_900536985.1
GCF_900607785.1_prophage_5,12,GCF_900607785.1
GCF_900607785.1_prophage_9,1,GCF_900607785.1
GCF_900608045.1_prophage_10,3,GCF_900608045.1
GCF_900608065.1_prophage_7,1,GCF_900608065.1
GCF_900618235.1_prophage_2,2,GCF_900618235.1
GCF_900635165.1_prophage_5,1,GCF_900635165.1
GCF_900636075.1_prophage_10,20,GCF_900636075.1
GCF_900699165.1_prophage_3,2,GCF_900699165.1
GCF_900706885.1_prophage_1,12,GCF_900706885.1
GCF_900707035.1_prophage_6,16,GCF_900707035.1
GCF_901212605.1_prophage_1,15,GCF_901212605.1
GCF_901212605.1_prophage_2,13,GCF_901212605.1
GCF_902006485.1_prophage_2,2,GCF_902006485.1
GCF_902159015.1_prophage_3,1,GCF_902159015.1
GCF_902160875.1_prophage_3,1,GCF_902160875.1
GCF_902163485.1_prophage_2,5,GCF_902163485.1
GCF_902164305.1_prophage_4,10,GCF_902164305.1
GCF_902164375.1_prophage_3,10,GCF_902164375.1
GCF_902164475.1_prophage_2,13,GCF_902164475.1
GCF_902164555.1_prophage_6,3,GCF_902164555.1
GCF_902165065.1_prophage_5,12,GCF_902165065.1
GCF_902168335.1_prophage_4,10,GCF_902168335.1
GCF_902168365.1_prophage_7,2,GCF_902168365.1
GCF_902499785.1_prophage_2,1,GCF_902499785.1
GCF_902499835.1_prophage_3,20,GCF_902499835.1
GCF_902499855.1_prophage_3,18,GCF_902499855.1
GCF_902499885.1_prophage_7,10,GCF_902499885.1
GCF_902499935.1_prophage_1,20,GCF_902499935.1
GCF_902499935.1_prophage_5,12,GCF_902499935.1
GCF_902500125.1_prophage_7,3,GCF_902500125.1
GCF_902501765.1_prophage_7,3,GCF_902501765.1
GCF_902501915.1_prophage_1,9,GCF_902501915.1
GCF_902502175.1_prophage_2,2,GCF_902502175.1
GCF_902503205.1_prophage_4,14,GCF_902503205.1
GCF_902503875.1_prophage_1,2,GCF_902503875.1
GCF_902504595.1_prophage_1,16,GCF_902504595.1
GCF_902504835.1_prophage_1,13,GCF_902504835.1
GCF_902505045.1_prophage_2,20,GCF_902505045.1
GCF_902505165.1_prophage_2,3,GCF_902505165.1
GCF_902505225.1_prophage_2,14,GCF_902505225.1
GCF_902505275.1_prophage_3,12,GCF_902505275.1
GCF_902505505.1_prophage_3,20,GCF_902505505.1
GCF_902668655.1_prophage_8,1,GCF_902668655.1
GCF_902668695.1_prophage_1,20,GCF_902668695.1
GCF_902703135.1_prophage_2,20,GCF_902703135.1
GCF_902703145.1_prophage_3,1,GCF_902703145.1
GCF_902703295.1_prophage_3,3,GCF_902703295.1
GCF_902703345.1_prophage_3,20,GCF_902703345.1
GCF_902703355.1_prophage_6,15,GCF_902703355.1
GCF_902703355.1_prophage_7,18,GCF_902703355.1
GCF_902705295.1_prophage_1,1,GCF_902705295.1
GCF_902807065.1_prophage_1,20,GCF_902807065.1
GCF_902807115.1_prophage_3,12,GCF_902807115.1
GCF_902810085.1_prophage_2,12,GCF_902810085.1
GCF_902810175.1_prophage_1,1,GCF_902810175.1
GCF_902810225.1_prophage_4,2,GCF_902810225.1
GCF_902810275.1_prophage_5,12,GCF_902810275.1
GCF_902859055.1_prophage_2,2,GCF_902859055.1
GCF_902859055.1_prophage_3,14,GCF_902859055.1
GCF_902859065.1_prophage_1,11,GCF_902859065.1
GCF_902859125.1_prophage_2,7,GCF_902859125.1
GCF_902859135.1_prophage_3,2,GCF_902859135.1
GCF_902859195.1_prophage_1,11,GCF_902859195.1
GCF_902859215.1_prophage_2,14,GCF_902859215.1
GCF_902859365.1_prophage_2,14,GCF_902859365.1
GCF_902859375.1_prophage_4,20,GCF_902859375.1
GCF_902859485.1_prophage_1,11,GCF_902859485.1
GCF_902859495.1_prophage_7,10,GCF_902859495.1
GCF_902859515.1_prophage_3,14,GCF_902859515.1
GCF_903932245.1_prophage_6,14,GCF_903932245.1
GCF_904425475.1_prophage_1,1,GCF_904425475.1
GCF_904809545.1_prophage_5,13,GCF_904809545.1
GCF_904809545.1_prophage_7,17,GCF_904809545.1
GCF_904809665.1_prophage_1,13,GCF_904809665.1
GCF_904809675.1_prophage_4,16,GCF_904809675.1
GCF_904809695.1_prophage_2,16,GCF_904809695.1
GCF_904809725.1_prophage_2,13,GCF_904809725.1
GCF_904809735.1_prophage_1,14,GCF_904809735.1
GCF_904809915.1_prophage_2,1,GCF_904809915.1
GCF_904809955.1_prophage_4,10,GCF_904809955.1
GCF_904810025.1_prophage_3,13,GCF_904810025.1
GCF_904810065.1_prophage_5,15,GCF_904810065.1
GCF_904810145.1_prophage_3,20,GCF_904810145.1
GCF_904810225.1_prophage_2,2,GCF_904810225.1
GCF_904810315.1_prophage_3,14,GCF_904810315.1
GCF_904810375.1_prophage_1,8,GCF_904810375.1
GCF_904810375.1_prophage_3,17,GCF_904810375.1
GCF_904810405.1_prophage_6,1,GCF_904810405.1
GCF_904810445.1_prophage_9,20,GCF_904810445.1
GCF_904830965.1_prophage_6,1,GCF_904830965.1
GCF_904831805.1_prophage_9,20,GCF_904831805.1
GCF_904833135.1_prophage_3,20,GCF_904833135.1
GCF_904842245.1_prophage_3,1,GCF_904842245.1
GCF_904842335.1_prophage_3,12,GCF_904842335.1
GCF_904842345.1_prophage_3,1,GCF_904842345.1
GCF_904842475.1_prophage_7,4,GCF_904842475.1
GCF_904842485.1_prophage_5,20,GCF_904842485.1
GCF_904842595.1_prophage_1,4,GCF_904842595.1
GCF_904842595.1_prophage_8,9,GCF_904842595.1
GCF_904842655.1_prophage_5,17,GCF_904842655.1
GCF_904842675.1_prophage_4,20,GCF_904842675.1
GCF_904863385.1_prophage_1,13,GCF_904863385.1
GCF_904865835.1_prophage_2,2,GCF_904865835.1
GCF_904865835.1_prophage_3,14,GCF_904865835.1
GCF_905133375.1_prophage_4,16,GCF_905133375.1
GCF_905133545.1_prophage_5,12,GCF_905133545.1
GCF_905133545.1_prophage_9,3,GCF_905133545.1
GCF_905133615.1_prophage_5,14,GCF_905133615.1
GCF_905133635.1_prophage_2,14,GCF_905133635.1
GCF_905133635.1_prophage_4,20,GCF_905133635.1
GCF_905133675.1_prophage_2,8,GCF_905133675.1
GCF_905133715.1_prophage_3,11,GCF_905133715.1
GCF_905133735.1_prophage_3,11,GCF_905133735.1
GCF_905133865.1_prophage_1,15,GCF_905133865.1
GCF_905133965.1_prophage_3,1,GCF_905133965.1
GCF_905134005.1_prophage_1,10,GCF_905134005.1
GCF_905134045.1_prophage_4,16,GCF_905134045.1
GCF_905134045.1_prophage_8,17,GCF_905134045.1
GCF_905134045.1_prophage_9,1,GCF_905134045.1
GCF_905134095.1_prophage_2,1,GCF_905134095.1
GCF_905134175.1_prophage_3,3,GCF_905134175.1
GCF_905218875.1_prophage_7,3,GCF_905218875.1
GCF_905330065.1_prophage_3,2,GCF_905330065.1
GCF_905330065.1_prophage_6,20,GCF_905330065.1
GCF_905330275.1_prophage_4,1,GCF_905330275.1
GCF_905330655.1_prophage_10,1,GCF_905330655.1
GCF_905330655.1_prophage_9,20,GCF_905330655.1
GCF_905330875.1_prophage_1,2,GCF_905330875.1
GCF_905330995.1_prophage_6,1,GCF_905330995.1
GCF_905332385.1_prophage_5,13,GCF_905332385.1
GCF_907175065.1_prophage_7,3,GCF_907175065.1
GCF_907175075.1_prophage_2,5,GCF_907175075.1
GCF_907175085.1_prophage_3,15,GCF_907175085.1
GCF_907175125.1_prophage_9,20,GCF_907175125.1
GCF_907175135.1_prophage_1,4,GCF_907175135.1
GCF_907175305.1_prophage_2,14,GCF_907175305.1
GCF_907175305.1_prophage_4,2,GCF_907175305.1
GCF_907175525.1_prophage_1,15,GCF_907175525.1
GCF_907175595.1_prophage_3,2,GCF_907175595.1
GCF_907175605.1_prophage_4,15,GCF_907175605.1
GCF_907175685.1_prophage_6,1,GCF_907175685.1
GCF_907175795.1_prophage_1,20,GCF_907175795.1
GCF_907175815.1_prophage_1,5,GCF_907175815.1
GCF_907175815.1_prophage_4,2,GCF_907175815.1
GCF_907175925.1_prophage_1,20,GCF_907175925.1
GCF_907175975.1_prophage_2,1,GCF_907175975.1
GCF_907176125.1_prophage_3,12,GCF_907176125.1
GCF_907275035.1_prophage_6,5,GCF_907275035.1
GCF_907275045.1_prophage_5,20,GCF_907275045.1
GCF_907275055.1_prophage_5,5,GCF_907275055.1
GCF_910591805.1_prophage_7,4,GCF_910591805.1
GCF_910592805.1_prophage_4,9,GCF_910592805.1
GCF_910592855.1_prophage_1,20,GCF_910592855.1
GCF_910593615.1_prophage_3,2,GCF_910593615.1
GCF_910593925.1_prophage_15,15,GCF_910593925.1
GCF_910593925.1_prophage_6,2,GCF_910593925.1
GCF_910664815.1_prophage_4,2,GCF_910664815.1
GCF_910664855.1_prophage_7,4,GCF_910664855.1
GCF_910664925.1_prophage_3,1,GCF_910664925.1
GCF_910664935.1_prophage_2,20,GCF_910664935.1
GCF_910664935.1_prophage_5,8,GCF_910664935.1
GCF_910664945.1_prophage_5,14,GCF_910664945.1
GCF_910907455.1_prophage_1,13,GCF_910907455.1
GCF_916098175.1_prophage_4,5,GCF_916098175.1
GCF_916159645.1_prophage_2,14,GCF_916159645.1
GCF_916159685.1_prophage_1,1,GCF_916159685.1
GCF_916159815.1_prophage_2,19,GCF_916159815.1
GCF_916159975.1_prophage_11,3,GCF_916159975.1
GCF_916160005.1_prophage_7,17,GCF_916160005.1
GCF_916160215.1_prophage_6,20,GCF_916160215.1
GCF_916160225.1_prophage_4,5,GCF_916160225.1
GCF_916160385.1_prophage_1,10,GCF_916160385.1
GCF_916160425.1_prophage_7,17,GCF_916160425.1
GCF_916160705.1_prophage_3,15,GCF_916160705.1
GCF_916160895.1_prophage_4,13,GCF_916160895.1
GCF_916160945.1_prophage_2,2,GCF_916160945.1
GCF_921293325.1_prophage_1,3,GCF_921293325.1
